phi_h,x_h,temperature_BH,temperature_MeV,entropy_BH,s_over_T3_plot,susceptibility_integral,chi_2_over_T2_BH,chi_2_over_T2_plot
1.4999999999999976,0.83308072951851586,3.7069978509387105,934.16345843655506,9190.1005120263562,19.971364914526287,0.00090520227696085738,40.195709430708781,0.29909058240260861
1.6325976010956005,0.85255675743798076,2.726583385183817,687.09901306632185,3579.4056832035035,19.548302913000054,0.0015691243043895098,42.862262049069535,0.31893202286797862
1.7769166180687119,0.86984195202554959,2.0909256070247162,526.91325297022843,1569.7961772490112,19.009995398206119,0.0025313220352307375,45.179918374677385,0.336177375420596
1.9339932053372118,0.8850177845014694,1.666549607327974,419.97050104664942,766.39979659058201,18.329690529223043,0.0038442594342700423,46.829640548292581,0.34845272452370463
2.1049551117123921,0.89821653686501857,1.3760119272121139,346.75500565745267,411.36582009502018,17.478980479916721,0.0055663958068679978,47.440747498969678,0.35299988481461514
2.2910297771970405,0.90961265234781852,1.1729742095766402,295.58950081331335,239.54106270313574,16.431192007245677,0.0077890911957118666,46.655869665677677,0.34715971999108158
2.4935531455267808,0.91941437377613033,1.0288750978091947,259.27652464791709,149.22236748473836,15.167026537919666,0.010678802803351126,44.230528180475076,0.32911309741349215
2.7139792557278484,0.92785622852014282,0.92558594800225624,233.24765889656857,98.007786750422113,13.6824797024248,0.014540276705755847,40.138748531025691,0.29866674441338836
2.953890681549856,0.93519239596620996,0.85123707581511543,214.5117431054091,66.850409197680136,11.997947717335324,0.019922025840373839,34.63661505411477,0.25772614828078372
3.2150098937313261,0.94169042658103885,0.7977666063169786,201.03718479187862,46.624139272173814,10.165710935610926,0.027816969927094662,28.242847229732607,0.21015102721871964
3.4992116266690365,0.94762428901341378,0.75942938420895612,191.37620482065694,32.725490228448997,8.2713892368751676,0.040077903516988554,21.631678259232242,0.16095825501108799
3.8085363382836492,0.95326552451770385,0.73185943704797241,184.42857813608904,22.751261643850629,6.4250563620127341,0.060326058816121984,15.47425312231001,0.11514172642170668
4.1452048597008666,0.95887171739834431,0.71147168627077118,179.29086494023434,15.423964499159872,4.7410838999852762,0.0960404939267476,10.284907171880709,0.076528537984814599
4.511634340011069,0.96467283262591841,0.69509482137358425,175.16389498614322,10.047933572701325,3.3120667829052501,0.1636391516604262,6.3240410327394141,0.047056293878345742
4.9104556003473334,0.97085808731879952,0.67978320979520279,171.3053688683911,6.2073221955773148,2.1874970508458009,0.3016303773452178,3.587187352840266,0.026691753168277106
5.3445320222756081,0.97756794843587647,0.66277925043294583,167.02037110910234,3.5953369073558537,1.3670593541967111,0.60705755260830818,1.8750045699124849,0.013951643515321062
5.8169801056968486,0.98489597411698238,0.64160162766632289,161.68361017191336,1.933997226642173,0.81061374684925869,1.344265407992226,0.90355390504446553,0.006723216669623916
6.3311918441211388,0.99290244748900358,0.61422939025092282,154.78580634323257,0.95843771468968597,0.45785356920961146,3.2967590603874286,0.40199588696620053,0.0029911944747097359
6.8908590778591039,1.0016369621070866,0.57933889537157746,145.99340163363752,0.43442601182406587,0.24732740972565775,9.0099168622241113,0.16534225137193143,0.0012302882809877421
7.500000000000699,1.0111631467425997,0.53652887472743016,135.2052764313124,0.17881472886572761,0.12816766674832422,27.620589446530282,0.062885549836555255,0.00046792247211724174
