preset,x_h,phi_h,temperature_L,sound_speed_squared
cosh-calibration,0.10169434202180914,0.097181665523215582,15.760113447540085,0.33319635904527278
cosh-calibration,0.10255224830440081,0.098001070812612709,15.535746810283573,0.3331940421922755
cosh-calibration,0.10341739199248698,0.098827377707323763,15.314574930987398,0.33319168621857015
cosh-calibration,0.10428983414173233,0.09966064414987974,15.096552320901356,0.33318929046594731
cosh-calibration,0.10516963632287478,0.10050092856453041,14.881634138972933,0.33318685426648781
cosh-calibration,0.10605686062607077,0.10134828986101685,14.669776182622172,0.33318437693925934
cosh-calibration,0.10695156966527711,0.1022027874385997,14.460934878655813,0.33318185779122655
cosh-calibration,0.10785382658266984,0.10306448118994513,14.255067274301549,0.33317929612068248
cosh-calibration,0.10876369505310038,0.10393343150510294,14.052131028374532,0.33317669121093663
cosh-calibration,0.10968123928858918,0.10480969927547043,13.852084402572766,0.3331740423360442
cosh-calibration,0.11060652404285741,0.10569334589786228,13.654886252886174,0.33317134875646792
cosh-calibration,0.11153961461589679,0.10658443327853447,13.46049602114295,0.33316860972194901
cosh-calibration,0.11248057685857799,0.1074830238372827,13.268873726658143,0.33316582446763798
cosh-calibration,0.11342947717729791,0.10838918051155232,13.079979958023078,0.33316299221599294
cosh-calibration,0.11438638253866622,0.10930296676055157,12.89377586498772,0.33316011217903696
cosh-calibration,0.11535136047423129,0.11022444656948382,12.710223150479482,0.33315718355330709
cosh-calibration,0.11632447908524619,0.11115368445363429,12.52928406272053,0.33315420552213337
cosh-calibration,0.11730580704747474,0.11209074546276218,12.350921387469405,0.3331511772554126
cosh-calibration,0.11829541361603811,0.11303569518518956,12.175098440361314,0.33314809791196359
cosh-calibration,0.11929336863030246,0.11398859975219432,12.001779059366358,0.3331449666325656
cosh-calibration,0.1202997425188076,0.11494952584227608,11.830927597353508,0.33314178254400828
cosh-calibration,0.12131460630423736,0.11591854068556859,11.662508914757494,0.33313854476258598
cosh-calibration,0.12233803160843196,0.11689571206810861,11.49648837234934,0.33313525238664338
cosh-calibration,0.12337009065744239,0.11788110833635429,11.332831824117935,0.33313190449856045
cosh-calibration,0.12441085628662778,0.11887479840155267,11.171505610242608,0.33312850016792916
cosh-calibration,0.12546040194579547,0.11987685174421396,11.012476550172632,0.333125038447457
cosh-calibration,0.1265188017043847,0.12088733841861816,10.855711935802303,0.33312151837547699
cosh-calibration,0.12758613025669377,0.12190632905739859,10.701179524743429,0.33311793897489045
cosh-calibration,0.12866246292715147,0.12293389487595398,10.548847533694264,0.33311429925032554
cosh-calibration,0.12974787567563306,0.12397010767721232,10.398684631904475,0.33311059818866973
cosh-calibration,0.13084244510282084,0.12501503985610221,10.250659934730795,0.3331068347625939
cosh-calibration,0.13194624845561001,0.12606876440425391,10.104742997283385,0.33310300792851416
cosh-calibration,0.13305936363256049,0.12713135491470856,9.9609038081653072,0.33309911662500491
cosh-calibration,0.13418186918939412,0.12820288558667078,9.8191127832997847,0.33309515977139154
cosh-calibration,0.1353138443445388,0.12928343123005845,9.6793407598475074,0.33309113626680409
cosh-calibration,0.13645536898471902,0.13037306727043854,9.5415589902089177,0.33308704500000602
cosh-calibration,0.13760652367059373,0.13147186975386446,9.4057391361051987,0.3330828848355511
cosh-calibration,0.13876738964244184,0.1325799153514727,9.2718532627612813,0.33307865461696862
cosh-calibration,0.13993804882589536,0.13369728136470133,9.1398738331512881,0.33307435317744682
cosh-calibration,0.14111858383772133,0.13482404572980691,9.0097737023372613,0.33306997932303917
cosh-calibration,0.14230907799165227,0.13596028702304891,8.8815261118903912,0.33306553184127902
cosh-calibration,0.14350961530426581,0.13710608446554803,8.7551046843827347,0.33306100950218026
